city,street,segment_id,point_id,distance_m,lon,lat,heading_road,heading_sidewalk_right,heading_sidewalk_left,image_file,image_path,gsv_status,gsv_url_sidewalk
"Philadelphia, Pennsylvania, USA",Market Street,1,0,0.0,-75.2120897,39.9584176,280.2429463579675,10.242946357967526,190.24294635796755,idx0016_seg1_pt0_h10.jpg,gsv_sidewalk_250m\idx0016_seg1_pt0_h10.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.9584176,-75.2120897&heading=10.242946357967526"
"Philadelphia, Pennsylvania, USA",Market Street,1,1,250.0,-75.21429672500808,39.95872329495522,279.1911179737051,9.191117973705104,189.1911179737051,idx0017_seg1_pt1_h9.jpg,gsv_sidewalk_250m\idx0017_seg1_pt1_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95872329495522,-75.21429672500808&heading=9.191117973705104"
"Philadelphia, Pennsylvania, USA",Market Street,1,2,500.0,-75.21651367962909,39.95899825254788,279.19261557110843,9.192615571108432,189.19261557110843,idx0018_seg1_pt2_h9.jpg,gsv_sidewalk_250m\idx0018_seg1_pt2_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95899825254788,-75.21651367962909&heading=9.192615571108432"
"Philadelphia, Pennsylvania, USA",Market Street,1,3,750.0,-75.2187306248601,39.9592732534495,279.1907944713699,9.190794471369884,189.19079447136988,idx0019_seg1_pt3_h9.jpg,gsv_sidewalk_250m\idx0019_seg1_pt3_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.9592732534495,-75.2187306248601&heading=9.190794471369884"
"Philadelphia, Pennsylvania, USA",Market Street,1,4,1000.0,-75.22094758140466,39.9595481992237,279.19313777962753,9.193137779627534,189.19313777962756,idx0020_seg1_pt4_h9.jpg,gsv_sidewalk_250m\idx0020_seg1_pt4_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.9595481992237,-75.22094758140466&heading=9.193137779627534"
"Philadelphia, Pennsylvania, USA",Market Street,1,5,1250.0,-75.2231645232568,39.95982321338781,279.1905041434838,9.190504143483793,189.1905041434838,idx0021_seg1_pt5_h9.jpg,gsv_sidewalk_250m\idx0021_seg1_pt5_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95982321338781,-75.2231645232568&heading=9.190504143483793"
"Philadelphia, Pennsylvania, USA",Market Street,1,6,1500.0,-75.22538148169689,39.960098148349815,279.1804085053841,9.180408505384094,189.1804085053841,idx0022_seg1_pt6_h9.jpg,gsv_sidewalk_250m\idx0022_seg1_pt6_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.960098148349815,-75.22538148169689&heading=9.180408505384094"
"Philadelphia, Pennsylvania, USA",Market Street,1,7,1750.0,-75.22759850323818,39.96037278277821,279.17890630162054,9.178906301620543,189.17890630162051,idx0023_seg1_pt7_h9.jpg,gsv_sidewalk_250m\idx0023_seg1_pt7_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.96037278277821,-75.22759850323818&heading=9.178906301620543"
"Philadelphia, Pennsylvania, USA",Market Street,1,8,2000.0,-75.22981553406564,39.96064737153685,279.1786170478648,9.178617047864805,189.1786170478648,idx0024_seg1_pt8_h9.jpg,gsv_sidewalk_250m\idx0024_seg1_pt8_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.96064737153685,-75.22981553406564&heading=9.178617047864805"
"Philadelphia, Pennsylvania, USA",Market Street,1,9,2250.0,-75.23203256686189,39.96092195063379,279.180315851385,9.18031585138499,189.180315851385,idx0025_seg1_pt9_h9.jpg,gsv_sidewalk_250m\idx0025_seg1_pt9_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.96092195063379,-75.23203256686189&heading=9.18031585138499"
"Philadelphia, Pennsylvania, USA",Market Street,1,10,2500.0,-75.2342495887977,39.96119657898258,279.17906600529045,9.179066005290451,189.17906600529045,idx0026_seg1_pt10_h9.jpg,gsv_sidewalk_250m\idx0026_seg1_pt10_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.96119657898258,-75.2342495887977&heading=9.179066005290451"
"Philadelphia, Pennsylvania, USA",Market Street,1,11,2750.0,-75.2364666186964,39.96147116917825,279.179821118948,9.179821118947984,189.179821118948,idx0027_seg1_pt11_h9.jpg,gsv_sidewalk_250m\idx0027_seg1_pt11_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.96147116917825,-75.2364666186964&heading=9.179821118947984"
"Philadelphia, Pennsylvania, USA",Market Street,1,12,3000.0,-75.2386836439597,39.96174578067725,279.1762421655064,9.17624216550638,189.1762421655064,idx0028_seg1_pt12_h9.jpg,gsv_sidewalk_250m\idx0028_seg1_pt12_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.96174578067725,-75.2386836439597&heading=9.17624216550638"
"Philadelphia, Pennsylvania, USA",Market Street,1,13,3250.0,-75.24090069100559,39.96202028485443,279.1816545443638,9.181654544363823,189.18165454436385,idx0029_seg1_pt13_h9.jpg,gsv_sidewalk_250m\idx0029_seg1_pt13_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.96202028485443,-75.24090069100559&heading=9.181654544363823"
"Philadelphia, Pennsylvania, USA",Market Street,1,14,3500.0,-75.24311770473734,39.96229494851545,279.17883309531504,9.178833095315042,189.17883309531504,idx0030_seg1_pt14_h9.jpg,gsv_sidewalk_250m\idx0030_seg1_pt14_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.96229494851545,-75.24311770473734&heading=9.178833095315042"
"Philadelphia, Pennsylvania, USA",Market Street,1,15,3750.0,-75.24533473616619,39.96256952740168,279.17883309531504,9.178833095315042,189.17883309531504,idx0031_seg1_pt15_h9.jpg,gsv_sidewalk_250m\idx0031_seg1_pt15_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.96256952740168,-75.24533473616619&heading=9.178833095315042"
"Philadelphia, Pennsylvania, USA",Market Street,2,0,0.0,-75.16521699999998,39.9525756,279.26769999547537,9.267699995475368,189.26769999547537,idx0032_seg2_pt0_h9.jpg,gsv_sidewalk_250m\idx0032_seg2_pt0_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.9525756,-75.16521699999998&heading=9.267699995475368"
