city,street,segment_id,point_id,distance_m,lon,lat,geometry
"Philadelphia, Pennsylvania, USA",Market Street,2,12,3000.0,-75.19181402159327,39.955897272548825,POINT (-75.19181402159327 39.955897272548825)
"Philadelphia, Pennsylvania, USA",Market Street,2,13,3250.0,-75.19403038256264,39.95617503808552,POINT (-75.19403038256264 39.95617503808552)
"Philadelphia, Pennsylvania, USA",Market Street,2,14,3500.0,-75.1962466222368,39.956452789571436,POINT (-75.1962466222368 39.956452789571436)
"Philadelphia, Pennsylvania, USA",Market Street,2,15,3750.0,-75.19846376627298,39.95672682579654,POINT (-75.19846376627298 39.95672682579654)
"Philadelphia, Pennsylvania, USA",Market Street,2,16,4000.0,-75.20068068524381,39.95700195583254,POINT (-75.20068068524381 39.95700195583254)
"Philadelphia, Pennsylvania, USA",Market Street,2,17,4250.0,-75.2028976082705,39.95727706290625,POINT (-75.2028976082705 39.95727706290625)
"Philadelphia, Pennsylvania, USA",Market Street,2,18,4500.0,-75.20511455107373,39.95755208219886,POINT (-75.20511455107373 39.95755208219886)
"Philadelphia, Pennsylvania, USA",Market Street,2,19,4750.0,-75.2073314745336,39.95782719144955,POINT (-75.2073314745336 39.95782719144955)
"Philadelphia, Pennsylvania, USA",Market Street,2,20,5000.0,-75.20954829865829,39.95810236312226,POINT (-75.20954829865829 39.95810236312226)
"Philadelphia, Pennsylvania, USA",Market Street,2,21,5250.0,-75.21176524945714,39.95837734103863,POINT (-75.21176524945714 39.95837734103863)
"Philadelphia, Pennsylvania, USA",Market Street,3,0,0.0,-75.1627087,39.951788199999996,POINT (-75.1627087 39.951788199999996)
"Philadelphia, Pennsylvania, USA",Market Street,4,0,0.0,-75.16208359999999,39.9521953,POINT (-75.16208359999999 39.9521953)
"Philadelphia, Pennsylvania, USA",Market Street,5,0,0.0,-75.14893379999998,39.950562999999995,POINT (-75.14893379999998 39.950562999999995)
"Philadelphia, Pennsylvania, USA",Market Street,5,1,250.0,-75.15115110610117,39.95083625663821,POINT (-75.15115110610117 39.95083625663821)
"Philadelphia, Pennsylvania, USA",Market Street,5,2,500.0,-75.15336794680871,39.95111178453142,POINT (-75.15336794680871 39.95111178453142)
"Philadelphia, Pennsylvania, USA",Market Street,5,3,750.0,-75.1555847593301,39.951387442614475,POINT (-75.1555847593301 39.951387442614475)
"Philadelphia, Pennsylvania, USA",Market Street,5,4,1000.0,-75.15780161202345,39.95166291035967,POINT (-75.15780161202345 39.95166291035967)
"Philadelphia, Pennsylvania, USA",Market Street,5,5,1250.0,-75.16001842084772,39.95193853250244,POINT (-75.16001842084772 39.95193853250244)
"Philadelphia, Pennsylvania, USA",Market Street,6,0,0.0,-75.140369,39.9482223,POINT (-75.140369 39.9482223)
"Philadelphia, Pennsylvania, USA",Market Street,6,1,250.0,-75.14043639371371,39.94973223844606,POINT (-75.14043639371371 39.94973223844606)
"Philadelphia, Pennsylvania, USA",Market Street,6,2,500.0,-75.14265835517317,39.94997299421275,POINT (-75.14265835517317 39.94997299421275)
"Philadelphia, Pennsylvania, USA",Market Street,6,3,750.0,-75.14488862185861,39.95009533244399,POINT (-75.14488862185861 39.95009533244399)
"Philadelphia, Pennsylvania, USA",Market Street,6,4,1000.0,-75.14710524671666,39.95037188242713,POINT (-75.14710524671666 39.95037188242713)
"Philadelphia, Pennsylvania, USA",Market Street,7,0,0.0,-75.14893379999998,39.950562999999995,POINT (-75.14893379999998 39.950562999999995)
"Philadelphia, Pennsylvania, USA",Market Street,7,1,250.0,-75.14672794080451,39.95025905772715,POINT (-75.14672794080451 39.95025905772715)
"Philadelphia, Pennsylvania, USA",Market Street,7,2,500.0,-75.14451108210687,39.94998361098005,POINT (-75.14451108210687 39.94998361098005)
"Philadelphia, Pennsylvania, USA",Market Street,7,3,750.0,-75.14229546135319,39.949702437290135,POINT (-75.14229546135319 39.949702437290135)
"Philadelphia, Pennsylvania, USA",Market Street,7,4,1000.0,-75.14222110353035,39.94815019580534,POINT (-75.14222110353035 39.94815019580534)
"Philadelphia, Pennsylvania, USA",Market Street,7,5,1250.0,-75.14257917401561,39.94645052017435,POINT (-75.14257917401561 39.94645052017435)
"Philadelphia, Pennsylvania, USA",Market Street,7,6,1500.0,-75.14293855095775,39.94475096534242,POINT (-75.14293855095775 39.94475096534242)
"Philadelphia, Pennsylvania, USA",Market Street,7,7,1750.0,-75.14328650882369,39.94305001327624,POINT (-75.14328650882369 39.94305001327624)
"Philadelphia, Pennsylvania, USA",Market Street,7,8,2000.0,-75.14355561039402,39.94134065079419,POINT (-75.14355561039402 39.94134065079419)
"Philadelphia, Pennsylvania, USA",Market Street,7,9,2250.0,-75.14377663635518,39.93962777328683,POINT (-75.14377663635518 39.93962777328683)
"Philadelphia, Pennsylvania, USA",Market Street,8,0,0.0,-75.14070189999998,39.964144,POINT (-75.14070189999998 39.964144)
"Philadelphia, Pennsylvania, USA",Market Street,8,1,250.0,-75.13916986251982,39.964010439621546,POINT (-75.13916986251982 39.964010439621546)
"Philadelphia, Pennsylvania, USA",Market Street,8,2,500.0,-75.13857992229777,39.965671090534556,POINT (-75.13857992229777 39.965671090534556)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,0,0.0,-75.24707859999998,39.961197,POINT (-75.24707859999998 39.961197)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,1,250.0,-75.24486157916112,39.96092236548923,POINT (-75.24486157916112 39.96092236548923)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,2,500.0,-75.24264456208668,39.96064771172361,POINT (-75.24264456208668 39.96064771172361)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,3,750.0,-75.2404275402974,39.960373079387175,POINT (-75.2404275402974 39.960373079387175)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,4,1000.0,-75.23821050956745,39.960098488143565,POINT (-75.23821050956745 39.960098488143565)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,5,1250.0,-75.23599348575677,39.95982386299562,POINT (-75.23599348575677 39.95982386299562)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,6,1500.0,-75.23377641341183,39.959549470842894,POINT (-75.23377641341183 39.959549470842894)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,7,1750.0,-75.23155938582235,39.95927486436134,POINT (-75.23155938582235 39.95927486436134)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,8,2000.0,-75.22934241025493,39.95900000896284,POINT (-75.22934241025493 39.95900000896284)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,9,2250.0,-75.22712539867874,39.95872532181081,POINT (-75.22712539867874 39.95872532181081)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,10,2500.0,-75.22490838727587,39.95845063266926,POINT (-75.22490838727587 39.95845063266926)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,11,2750.0,-75.22269147346648,39.95817547966063,POINT (-75.22269147346648 39.95817547966063)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,12,3000.0,-75.2204745623798,39.95790031277268,POINT (-75.2204745623798 39.95790031277268)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,13,3250.0,-75.21825764634181,39.957625168593275,POINT (-75.21825764634181 39.957625168593275)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,14,3500.0,-75.2160407538871,39.95734994410102,POINT (-75.2160407538871 39.95734994410102)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,15,3750.0,-75.21382393730727,39.95707432999777,POINT (-75.21382393730727 39.95707432999777)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,16,4000.0,-75.21160694000737,39.95679957217629,POINT (-75.21160694000737 39.95679957217629)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,17,4250.0,-75.20939252727247,39.95651444112395,POINT (-75.20939252727247 39.95651444112395)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,18,4500.0,-75.20717601865101,39.95623739181947,POINT (-75.20717601865101 39.95623739181947)
